X,Y,timestamp,moisture,speed,width,yield,yield (bu/ac)
440861.2671,5018583.986,2021-11-07T01:06:37,19.70000076,6.21818161,20.01000023,5670.806152,101.2643956
440862.626,5018581.556,2021-11-07T01:06:38,20.10000038,6.21818161,20.01000023,5935.970703,105.9994768
440863.9708,5018579.127,2021-11-07T01:06:39,20.5,6.238636494,20.01000023,6222.643066,111.1186262
440865.3156,5018576.697,2021-11-07T01:06:40,21.79999924,6.197727203,20.01000023,6360.757324,113.5849522
440866.6604,5018574.268,2021-11-07T01:06:41,22.29999924,6.238636494,20.01000023,6300.521484,112.5093122
440868.0192,5018571.824,2021-11-07T01:06:42,22.39999962,6.238636494,20.01000023,6270.563965,111.9743565
440869.3779,5018569.366,2021-11-07T01:06:43,22.5,6.265909195,20.01000023,6387.304199,114.0590036
440870.7508,5018566.922,2021-11-07T01:06:44,22.5,6.286363602,20.01000023,6669.688965,119.1015887
440872.1096,5018564.479,2021-11-07T01:06:45,22.5,6.265909195,20.01000023,7104.246582,126.8615461
440873.4544,5018562.049,2021-11-07T01:06:46,22.5,6.21818161,20.01000023,7771.758301,138.7813982
440874.8133,5018559.62,2021-11-07T01:06:47,22.5,6.21818161,20.01000023,8625.557617,154.0278146
440876.1583,5018557.204,2021-11-07T01:06:48,22.5,6.197727203,20.01000023,9356.889648,167.0873151
440877.5174,5018554.803,2021-11-07T01:06:49,22.39999962,6.21818161,20.01000023,9053.176758,161.6638707
440872.3437,5018529.248,2021-11-07T01:07:16,22.70000076,5.795454502,20.01000023,6044.555176,107.9384853
440870.0209,5018528.118,2021-11-07T01:07:17,22.60000038,5.727272511,20.01000023,6029.474609,107.6691894
440867.9253,5018527.154,2021-11-07T01:07:18,22.60000038,5.011363506,20.01000023,6104.080078,109.00143
440866.1278,5018526.412,2021-11-07T01:07:19,22.70000076,3.470454454,20.01000023,7198.85791,128.5510341
440864.5013,5018525.865,2021-11-07T01:07:20,23.10000038,3.511363745,20.01000023,6077.994141,108.5356097
440862.9751,5018525.486,2021-11-07T01:07:21,23.20000076,3.511363745,20.01000023,6223.763672,111.138637
440861.4644,5018525.261,2021-11-07T01:07:22,23.10000038,3.422727346,20.01000023,7419.327637,132.4879935
440859.8847,5018525.192,2021-11-07T01:07:23,23.10000038,3.531818151,20.01000023,8375.770508,149.5673305
440858.0808,5018525.265,2021-11-07T01:07:24,22.89999962,4.050000191,20.01000023,8426.603516,150.4750628
440856.0806,5018525.466,2021-11-07T01:07:25,22.79999924,4.493181705,20.01000023,8691.774414,155.2102574
440853.9545,5018525.767,2021-11-07T01:07:26,22.60000038,4.806818008,20.01000023,9050.777344,161.621024
440851.7447,5018526.153,2021-11-07T01:07:27,22.5,5.011363506,20.01000023,9181.53125,163.9559152
440849.4649,5018526.61,2021-11-07T01:07:28,22.29999924,5.188636303,20.01000023,8969.635742,160.1720668
440847.1154,5018527.138,2021-11-07T01:07:29,22,5.3659091,20.01000023,8553.59668,152.7427979
440844.696,5018527.737,2021-11-07T01:07:30,21.79999924,5.570454597,20.01000023,8137.344727,145.3097273
