X,Y,timestamp,moisture,speed,width,yield
440809.2672,5018818.178,2021-11-07T00:49:14,23.89999962,6.21818161,7.510000229,103.3474197
440822.3641,5018770.013,2021-11-07T00:46:08,21.79999924,5.836363792,20.01000023,103.4306793
440754.6661,5018855.827,2021-11-07T00:36:57,21.70000076,4.629545689,20.01000023,103.4922638
440823.4127,5018731.475,2021-11-07T00:31:31,22.5,3.265909195,20.01000023,103.5052261
440831.7548,5018741.57,2021-11-07T00:42:02,22.70000076,3.4909091,20.01000023,103.5325928
440822.6915,5018732.746,2021-11-07T00:31:30,22.5,3.4909091,20.01000023,103.8004684
440793.6541,5018874.627,2021-11-07T00:34:50,24.29999924,3.334090948,20.01000023,104.0210342
440808.0768,5018796.465,2021-11-07T00:46:19,22.39999962,6.238636494,20.01000023,104.2157059
440845.2102,5018752.713,2021-11-07T00:48:47,24.29999924,4.315908909,9.510000229,104.2275543
440820.1118,5018737.281,2021-11-07T00:31:27,22.5,4.452272892,20.01000023,104.3285522
440762.0244,5018842.213,2021-11-07T00:37:04,22.10000038,5.147727489,20.01000023,104.4706955
440771.274,5018851.371,2021-11-07T00:42:55,22.39999962,5.434091091,20.01000023,104.8577576
440782.7892,5018830.018,2021-11-07T00:42:45,22.89999962,5.413636208,20.01000023,105.0226669
440782.3945,5018804.463,2021-11-07T00:37:22,22.60000038,5.393181801,20.01000023,105.8311768
440778.2029,5018838.562,2021-11-07T00:42:49,22.60000038,5.434091091,20.01000023,105.9283676
440831.542,5018765.501,2021-11-07T00:48:03,22.5,6.129545689,20.01000023,105.9337997
440760.9296,5018844.232,2021-11-07T00:37:03,22.10000038,5.120454311,20.01000023,105.9819183
440786.1436,5018873.517,2021-11-07T00:39:40,24.60000038,4.9909091,20.01000023,106.1914597
440833.5177,5018773.239,2021-11-07T00:48:56,24.20000076,6.422727108,8.989999771,106.3351135
440771.9114,5018836.654,2021-11-07T00:40:56,22.20000076,5.570454597,20.01000023,106.4988937
440814.7008,5018784.207,2021-11-07T00:46:14,21.79999924,6.150000095,20.01000023,106.9341202
440827.8592,5018732.065,2021-11-07T00:32:01,21.20000076,4.247727394,14.98999977,107.2368393
440773.103,5018834.437,2021-11-07T00:40:57,22.20000076,5.611363411,20.01000023,107.4627609
440770.7336,5018838.843,2021-11-07T00:40:55,22.20000076,5.550000191,20.01000023,107.7711639
440846.0034,5018742.574,2021-11-07T00:38:22,22.5,5.20909071,20.01000023,107.8453979
440853.9636,5018757.057,2021-11-07T00:38:47,23.60000038,5.168181896,20.01000023,108.083992
440838.9666,5018763.45,2021-11-07T00:48:52,24.29999924,6.061363697,10.01000023,108.110405
440787.376,5018821.516,2021-11-07T00:42:41,22.89999962,5.393181801,20.01000023,108.1125793
440826.6179,5018733.496,2021-11-07T00:32:00,21.29999924,4.363636494,14.98999977,108.7887497
440775.4865,5018830.03,2021-11-07T00:40:59,22.10000038,5.611363411,20.01000023,108.9077835
440860.1452,5018757.758,2021-11-07T00:33:48,22.70000076,3.913636446,20.01000023,109.0841293
440842.7938,5018756.628,2021-11-07T00:48:49,24,5.3659091,10.98999977,109.2454376
440844.2406,5018760.577,2021-11-07T00:45:15,23.5,5.993181705,20.01000023,109.3494263
440828.0042,5018783.647,2021-11-07T00:49:00,23.79999924,6.688636303,7.510000229,109.5398788
440783.9394,5018827.886,2021-11-07T00:42:44,23,5.393181801,20.01000023,109.7644272
440794.5593,5018873.438,2021-11-07T00:34:49,24,3.62045455,20.01000023,110.0061188
440774.2808,5018832.248,2021-11-07T00:40:58,22.10000038,5.590909004,20.01000023,110.1806793
440802.6709,5018830.38,2021-11-07T00:49:19,22.5,6.21818161,7.510000229,110.4590149
440782.5368,5018843.692,2021-11-07T00:46:38,22.5,6.443181992,20.01000023,110.5907516
